"  Homework"

"Time      "	".MARKER_25.Translational_Displacement.X"	".MARKER_25.Translational_Displacement.Y"	".MARKER_25.Translational_Velocity.Y"	".MARKER_25.Translational_Velocity.X"	".MARKER_25.Translational_Acceleration.X"	".MARKER_25.Translational_Acceleration.Y"
1.850000e+00	1.895146e+00	5.853826e-01	4.521676e-01	2.966247e-02	-6.722144e-02	2.198126e-01
1.900000e+00	1.896541e+00	6.082449e-01	4.619024e-01	2.606321e-02	-7.647572e-02	1.695231e-01
1.950000e+00	1.897746e+00	6.315308e-01	4.691153e-01	2.204354e-02	-8.401294e-02	1.189580e-01
2.000000e+00	1.898740e+00	6.551142e-01	4.737957e-01	1.769278e-02	-8.969932e-02	6.824478e-02
2.050000e+00	1.899511e+00	6.788681e-01	4.759396e-01	1.310615e-02	-9.343430e-02	1.751975e-02
2.100000e+00	1.900048e+00	7.026659e-01	4.755500e-01	8.382980e-03	-9.515293e-02	-3.306740e-02
2.150000e+00	1.900349e+00	7.263811e-01	4.726379e-01	3.624935e-03	-9.482809e-02	-8.335103e-02
2.200000e+00	1.900412e+00	7.498880e-01	4.672230e-01	-1.065955e-03	-9.247216e-02	-1.331487e-01
2.250000e+00	1.900245e+00	7.730621e-01	4.593344e-01	-5.589292e-03	-8.813823e-02	-1.822617e-01
2.300000e+00	1.899858e+00	7.957808e-01	4.490117e-01	-9.848359e-03	-8.192049e-02	-2.304767e-01
2.350000e+00	1.899266e+00	8.179236e-01	4.363055e-01	-1.375217e-02	-7.395375e-02	-2.775684e-01
2.400000e+00	1.898490e+00	8.393727e-01	4.212775e-01	-1.721746e-02	-6.441195e-02	-3.233023e-01
2.450000e+00	1.897553e+00	8.600139e-01	4.040018e-01	-2.017061e-02	-5.350575e-02	-3.674387e-01
2.500000e+00	1.896482e+00	8.797368e-01	3.845643e-01	-2.254934e-02	-4.147892e-02	-4.097358e-01
2.550000e+00	1.895308e+00	8.984359e-01	3.630629e-01	-2.430435e-02	-2.860381e-02	-4.499541e-01
2.600000e+00	1.894063e+00	9.160105e-01	3.396075e-01	-2.540050e-02	-1.517574e-02	-4.878596e-01
2.650000e+00	1.892779e+00	9.323661e-01	3.143193e-01	-2.581790e-02	-1.506626e-03	-5.232273e-01
2.700000e+00	1.891492e+00	9.474141e-01	2.873306e-01	-2.555250e-02	1.208225e-02	-5.558441e-01
2.750000e+00	1.890235e+00	9.610732e-01	2.587840e-01	-2.461640e-02	2.526790e-02	-5.855120e-01
2.800000e+00	1.889041e+00	9.732691e-01	2.288316e-01	-2.303771e-02	3.773374e-02	-6.120496e-01
2.850000e+00	1.887942e+00	9.839356e-01	1.976339e-01	-2.086007e-02	4.917768e-02	-6.352946e-01
2.900000e+00	1.886964e+00	9.930145e-01	1.653594e-01	-1.814165e-02	5.932013e-02	-6.551047e-01
2.950000e+00	1.886135e+00	1.000456e+00	1.321827e-01	-1.495393e-02	6.791155e-02	-6.713591e-01
3.000000e+00	1.885475e+00	1.006221e+00	9.828437e-02	-1.137992e-02	7.473932e-02	-6.839589e-01
3.050000e+00	1.885002e+00	1.010276e+00	6.384903e-02	-7.512243e-03	7.963367e-02	-6.928277e-01
3.100000e+00	1.884727e+00	1.012600e+00	2.906469e-02	-3.450837e-03	8.247249e-02	-6.979119e-01
3.150000e+00	1.884659e+00	1.013180e+00	-5.878559e-03	6.995335e-04	8.318477e-02	-6.991808e-01
3.200000e+00	1.884797e+00	1.012013e+00	-4.078967e-02	4.831871e-03	8.175269e-02	-6.966269e-01
3.250000e+00	1.885140e+00	1.009105e+00	-7.547777e-02	8.839631e-03	7.821209e-02	-6.902654e-01
3.300000e+00	1.885677e+00	1.004472e+00	-1.097534e-01	1.261938e-02	7.265146e-02	-6.801347e-01
3.350000e+00	1.886396e+00	9.981392e-01	-1.434294e-01	1.607339e-02	6.520939e-02	-6.662963e-01
3.400000e+00	1.887278e+00	9.901417e-01	-1.763226e-01	1.911202e-02	5.607068e-02	-6.488340e-01
3.450000e+00	1.888299e+00	9.805229e-01	-2.082542e-01	2.165593e-02	4.546105e-02	-6.278542e-01
3.500000e+00	1.889434e+00	9.693352e-01	-2.390515e-01	2.363794e-02	3.364098e-02	-6.034850e-01
3.550000e+00	1.890653e+00	9.566395e-01	-2.685487e-01	2.500464e-02	2.089846e-02	-5.758756e-01
3.600000e+00	1.891923e+00	9.425047e-01	-2.965879e-01	2.571754e-02	7.541390e-03	-5.451949e-01
3.650000e+00	1.893213e+00	9.270075e-01	-3.230201e-01	2.575386e-02	-6.110594e-03	-5.116300e-01
3.700000e+00	1.894487e+00	9.102318e-01	-3.477062e-01	2.510695e-02	-1.973419e-02	-4.753845e-01
3.750000e+00	1.895713e+00	8.922681e-01	-3.705175e-01	2.378624e-02	-3.301043e-02	-4.366756e-01
3.800000e+00	1.896855e+00	8.732132e-01	-3.913365e-01	2.181683e-02	-4.563221e-02	-3.957317e-01
3.850000e+00	1.897884e+00	8.531694e-01	-4.100573e-01	1.923874e-02	-5.731126e-02	-3.527891e-01
3.900000e+00	1.898770e+00	8.322440e-01	-4.265861e-01	1.610582e-02	-6.778426e-02	-3.080886e-01
3.950000e+00	1.899487e+00	8.105487e-01	-4.408409e-01	1.248432e-02	-7.681812e-02	-2.618715e-01
4.000000e+00	1.900011e+00	7.881990e-01	-4.527519e-01	8.451325e-03	-8.421420e-02	-2.143763e-01
4.050000e+00	1.900326e+00	7.653136e-01	-4.622611e-01	4.092905e-03	-8.981147e-02	-1.658346e-01
4.100000e+00	1.900417e+00	7.420137e-01	-4.693217e-01	-4.977976e-04	-9.348868e-02	-1.164683e-01
4.150000e+00	1.900274e+00	7.184228e-01	-4.738977e-01	-5.222599e-03	-9.516545e-02	-6.648577e-02
4.200000e+00	1.899894e+00	6.946658e-01	-4.759632e-01	-9.980324e-03	-9.480247e-02	-1.608055e-02
4.250000e+00	1.899277e+00	6.708686e-01	-4.755016e-01	-1.466885e-02	-9.240080e-02	3.457063e-02
4.300000e+00	1.898430e+00	6.471579e-01	-4.725047e-01	-1.918707e-02	-8.800051e-02	8.530766e-02
4.350000e+00	1.897363e+00	6.236604e-01	-4.669719e-01	-2.343685e-02	-8.167879e-02	1.359857e-01
4.400000e+00	1.896092e+00	6.005029e-01	-4.589094e-01	-2.732478e-02	-7.354762e-02	1.864720e-01
4.450000e+00	1.894638e+00	5.778114e-01	-4.483300e-01	-3.076385e-02	-6.375142e-02	2.366409e-01
4.500000e+00	1.893025e+00	5.557115e-01	-4.352527e-01	-3.367506e-02	-5.246446e-02	2.863660e-01
4.550000e+00	1.891281e+00	5.343274e-01	-4.197030e-01	-3.598880e-02	-3.988869e-02	3.355109e-01
4.600000e+00	1.889437e+00	5.137819e-01	-4.017139e-01	-3.764622e-02	-2.625160e-02	3.839175e-01
4.650000e+00	1.887528e+00	4.941960e-01	-3.813268e-01	-3.860045e-02	-1.180453e-02	4.313926e-01
4.700000e+00	1.885589e+00	4.756883e-01	-3.585941e-01	-3.881773e-02	3.178947e-03	4.776935e-01
4.750000e+00	1.883659e+00	4.583746e-01	-3.335820e-01	-3.827851e-02	1.840467e-02	5.225155e-01
4.800000e+00	1.881774e+00	4.423667e-01	-3.063735e-01	-3.697842e-02	3.355996e-02	5.654804e-01
4.850000e+00	1.879973e+00	4.277721e-01	-2.770725e-01	-3.492915e-02	4.831676e-02	6.061310e-01
4.900000e+00	1.878293e+00	4.146922e-01	-2.458078e-01	-3.215903e-02	6.233639e-02	6.439330e-01
4.950000e+00	1.876769e+00	4.032214e-01	-2.127367e-01	-2.871350e-02	7.527658e-02	6.782865e-01
5.000000e+00	1.875432e+00	3.934455e-01	-1.780474e-01	-2.465498e-02	8.680118e-02	7.085488e-01


