"  Homework"

"Time      "	".cm.Translational_Displacement.X"	".cm.Translational_Displacement.Y"	".cm.Translational_Velocity.X"	".cm.Translational_Velocity.Y"	".cm.Translational_Acceleration.X"	".cm.Translational_Acceleration.Y"
2.550000e+00	9.469990e-01	7.994189e-01	-1.375417e-02	1.818839e-01	-1.367498e-02	-2.256646e-01
2.600000e+00	9.462972e-01	8.082230e-01	-1.425955e-02	1.701209e-01	-6.509294e-03	-2.446461e-01
2.650000e+00	9.455791e-01	8.164157e-01	-1.440335e-02	1.574408e-01	7.610757e-04	-2.623369e-01
2.700000e+00	9.448629e-01	8.239529e-01	-1.418449e-02	1.439105e-01	7.968741e-03	-2.786338e-01
2.750000e+00	9.441665e-01	8.307938e-01	-1.361032e-02	1.296022e-01	1.494610e-02	-2.934416e-01
2.800000e+00	9.435075e-01	8.369015e-01	-1.269645e-02	1.145926e-01	2.152942e-02	-3.066738e-01
2.850000e+00	9.429022e-01	8.422427e-01	-1.146654e-02	9.896237e-02	2.756293e-02	-3.182537e-01
2.900000e+00	9.423656e-01	8.467888e-01	-9.951730e-03	8.279588e-02	3.290281e-02	-3.281145e-01
2.950000e+00	9.419111e-01	8.505148e-01	-8.189969e-03	6.618052e-02	3.742098e-02	-3.361998e-01
3.000000e+00	9.415500e-01	8.534008e-01	-6.225155e-03	4.920627e-02	4.100849e-02	-3.424636e-01
3.050000e+00	9.412912e-01	8.554310e-01	-4.106092e-03	3.196511e-02	4.357847e-02	-3.468708e-01
3.100000e+00	9.411411e-01	8.565944e-01	-1.885322e-03	1.455055e-02	4.506849e-02	-3.493965e-01
3.150000e+00	9.411034e-01	8.568848e-01	3.821384e-04	-2.942947e-03	4.544228e-02	-3.500268e-01
3.200000e+00	9.411791e-01	8.563004e-01	2.640135e-03	-2.042048e-02	4.469073e-02	-3.487582e-01
3.250000e+00	9.413663e-01	8.548446e-01	4.832746e-03	-3.778723e-02	4.283215e-02	-3.455976e-01
3.300000e+00	9.416604e-01	8.525251e-01	6.905639e-03	-5.494900e-02	3.991176e-02	-3.405628e-01
3.350000e+00	9.420541e-01	8.493546e-01	8.807393e-03	-7.181274e-02	3.600042e-02	-3.336820e-01
3.400000e+00	9.425375e-01	8.453503e-01	1.049073e-02	-8.828707e-02	3.119274e-02	-3.249939e-01
3.450000e+00	9.430988e-01	8.405339e-01	1.191365e-02	-1.042828e-01	2.560445e-02	-3.145482e-01
3.500000e+00	9.437239e-01	8.349315e-01	1.304039e-02	-1.197136e-01	1.936932e-02	-3.024047e-01
3.550000e+00	9.443974e-01	8.285733e-01	1.384226e-02	-1.344962e-01	1.263562e-02	-2.886335e-01
3.600000e+00	9.451024e-01	8.214940e-01	1.429828e-02	-1.485511e-01	5.562258e-03	-2.733149e-01
3.650000e+00	9.458212e-01	8.137316e-01	1.439558e-02	-1.618033e-01	-1.685271e-03	-2.565382e-01
3.700000e+00	9.465359e-01	8.053282e-01	1.412965e-02	-1.741823e-01	-8.938990e-03	-2.384014e-01
3.750000e+00	9.472282e-01	7.963290e-01	1.350436e-02	-1.856226e-01	-1.603247e-02	-2.190102e-01
3.800000e+00	9.478805e-01	7.867826e-01	1.253177e-02	-1.960643e-01	-2.280471e-02	-1.984766e-01
3.850000e+00	9.484759e-01	7.767402e-01	1.123178e-02	-2.054531e-01	-2.910370e-02	-1.769173e-01
3.900000e+00	9.489987e-01	7.662556e-01	9.631621e-03	-2.137409e-01	-3.478964e-02	-1.544527e-01
3.950000e+00	9.494347e-01	7.553851e-01	7.765126e-03	-2.208853e-01	-3.973767e-02	-1.312046e-01
4.000000e+00	9.497714e-01	7.441868e-01	5.671957e-03	-2.268503e-01	-4.384021e-02	-1.072945e-01
4.050000e+00	9.499988e-01	7.327203e-01	3.396684e-03	-2.316058e-01	-4.700870e-02	-8.284197e-02
4.100000e+00	9.501089e-01	7.210467e-01	9.878044e-04	-2.351274e-01	-4.917481e-02	-5.796271e-02
4.150000e+00	9.500962e-01	7.092284e-01	-1.503291e-03	-2.373968e-01	-5.029122e-02	-3.276705e-02
4.200000e+00	9.499581e-01	6.973282e-01	-4.023377e-03	-2.384006e-01	-5.033186e-02	-7.358637e-03
4.250000e+00	9.496943e-01	6.854096e-01	-6.518453e-03	-2.381307e-01	-4.929175e-02	1.816633e-02
4.300000e+00	9.493075e-01	6.735364e-01	-8.934788e-03	-2.365835e-01	-4.718648e-02	4.371948e-02
4.350000e+00	9.488030e-01	6.617725e-01	-1.121993e-02	-2.337596e-01	-4.405142e-02	6.921981e-02
4.400000e+00	9.481886e-01	6.501816e-01	-1.332366e-02	-2.296636e-01	-3.994073e-02	9.459250e-02
4.450000e+00	9.474745e-01	6.388272e-01	-1.519893e-02	-2.243037e-01	-3.492626e-02	1.197667e-01
4.500000e+00	9.466732e-01	6.277721e-01	-1.680269e-02	-2.176914e-01	-2.909646e-02	1.446722e-01
4.550000e+00	9.457994e-01	6.170787e-01	-1.809671e-02	-2.098422e-01	-2.255536e-02	1.692352e-01
4.600000e+00	9.448692e-01	6.068082e-01	-1.904834e-02	-2.007750e-01	-1.542164e-02	1.933729e-01
4.650000e+00	9.439007e-01	5.970211e-01	-1.963120e-02	-1.905136e-01	-7.827812e-03	2.169871e-01
4.700000e+00	9.429126e-01	5.877763e-01	-1.982587e-02	-1.790870e-01	8.054212e-05	2.399578e-01
4.750000e+00	9.419248e-01	5.791312e-01	-1.962053e-02	-1.665310e-01	8.145591e-03	2.621371e-01
4.800000e+00	9.409573e-01	5.711413e-01	-1.901151e-02	-1.528895e-01	1.619842e-02	2.833432e-01
4.850000e+00	9.400302e-01	5.638595e-01	-1.800386e-02	-1.382165e-01	2.406081e-02	3.033586e-01
4.900000e+00	9.391633e-01	5.573357e-01	-1.661168e-02	-1.225777e-01	3.154793e-02	3.219296e-01
4.950000e+00	9.383751e-01	5.516165e-01	-1.485844e-02	-1.060523e-01	3.847236e-02	3.387725e-01
5.000000e+00	9.376829e-01	5.467437e-01	-1.277691e-02	-8.873430e-02	4.464953e-02	3.535836e-01


